,FIPS,democrat,republican,prcpMm,prcpMm1015,shareRep,year,shareDem,avgTemp,avgTempPast,tempDiff,rainDiff,booYear,booRain,booPastRain
39,1079.0,3627.0,10833.0,0.0,0.629166666666667,0.46143033607360395,2016,0.15449163010606126,17.3,9.370833333333334,7.929166666666667,-0.629166666666667,True,False,True
40,1081.0,21230.0,34617.0,0.0,3.02,0.33470954517326734,2016,0.20527150371287128,13.9,11.783333333333315,2.116666666666685,-3.02,True,False,True
40,1081.0,21381.0,32194.0,3.02,3.02,0.5922478338453614,2012,0.3933295314483342,11.783333333333315,11.783333333333315,0.0,0.0,False,True,True
41,1083.0,9468.0,29067.0,0.0,0.8870726495726501,0.4991842552679936,2016,0.162599392055505,16.65,9.8125,6.837499999999999,-0.8870726495726501,True,False,True
41,1083.0,9829.0,25295.0,0.8870726495726501,0.8870726495726501,0.7133590907809019,2012,0.27719337826785867,9.8125,9.8125,0.0,0.0,False,True,True
43,1087.0,9045.0,1331.0,0.1875,0.1875,0.1280546469116798,2012,0.8702135847604388,10.4875,10.4875,0.0,0.0,False,False,False
45,1091.0,5615.0,5233.0,0.0,1.5666666666666698,0.3170170230811171,2016,0.3401587205428,17.25,11.533333333333317,5.716666666666683,-1.5666666666666698,True,False,True
45,1091.0,6167.0,5336.0,1.5666666666666698,1.5666666666666698,0.46251191817630233,2012,0.5345410418653029,11.533333333333317,11.533333333333317,0.0,0.0,False,True,True
46,1093.0,2249.0,9697.0,0.4,0.4,0.8010739363899215,2012,0.18579099545642297,9.587500000000015,9.587500000000015,0.0,0.0,False,True,True
46,1093.0,1432.0,11274.0,0.0,0.4,0.5542227902861075,2016,0.07039622456002359,16.7,9.587500000000015,7.112499999999985,-0.4,True,False,True
47,1095.0,6299.0,25867.0,1.17678571428571,1.17678571428571,0.794294663145612,2012,0.19342258797518885,10.616666666666665,10.616666666666665,0.0,0.0,False,True,True
47,1095.0,4917.0,29233.0,0.0,1.17678571428571,0.5245186873127231,2016,0.08822421186729586,18.6,10.616666666666665,7.983333333333336,-1.17678571428571,True,False,True
50,1101.0,58916.0,34003.0,0.0,6.50079365079365,0.2199104913919106,2016,0.3810324533378174,17.075,12.330555555555542,4.744444444444458,-6.50079365079365,True,False,True
50,1101.0,63085.0,38332.0,6.50079365079365,6.50079365079365,0.37608414112475963,2012,0.6189415643028139,12.330555555555542,12.330555555555542,0.0,0.0,False,True,True
51,1103.0,11254.0,37486.0,0.0,0.992857142857143,0.4946230883924684,2016,0.14849512449364666,19.45,8.574999999999985,10.875000000000014,-0.992857142857143,True,False,True
51,1103.0,13439.0,35391.0,0.992857142857143,0.992857142857143,0.7175354297183869,2012,0.27246923342051377,8.574999999999985,8.574999999999985,0.0,0.0,False,True,True
53,1107.0,4455.0,5124.0,2.25833333333333,2.25833333333333,0.5331391114348143,2012,0.463531370304859,12.266666666666666,12.266666666666666,0.0,0.0,False,True,True
53,1107.0,3972.0,5456.0,1.2,2.25833333333333,0.3894083220326886,2016,0.28349154235957463,19.75,12.266666666666666,7.483333333333334,-1.0583333333333302,True,True,True
54,1109.0,6035.0,7963.0,6.20833333333333,6.20833333333333,0.5644715389522932,2012,0.4278018005245623,12.048611111111121,12.048611111111121,0.0,0.0,False,True,True
54,1109.0,5056.0,7693.0,0.0,6.20833333333333,0.3410471250609567,2016,0.22414328146473378,16.6,12.048611111111121,4.55138888888888,-6.20833333333333,True,False,True
55,1111.0,3078.0,7224.0,1.35555555555556,1.35555555555556,0.6947489901904212,2012,0.2960184650894403,11.17,11.17,0.0,0.0,False,True,True
55,1111.0,2291.0,7705.0,0.0,1.35555555555556,0.4580311496849364,2016,0.13619070265129,11.399999999999999,11.17,0.22999999999999865,-1.35555555555556,True,False,True
56,1113.0,10500.0,8278.0,2.5725,2.5725,0.4384766142274485,2012,0.5561735261401557,13.68,13.68,0.0,0.0,False,True,True
56,1113.0,9579.0,9210.0,0.0,2.5725,0.25336304365767104,2016,0.26351407113972103,16.5,13.68,2.8200000000000003,-2.5725,True,False,True
59,1119.0,4746.0,1581.0,0.8,3.5166666666666697,0.1545001465845793,2016,0.46379360891234245,15.600000000000001,10.837499999999984,4.762500000000017,-2.7166666666666694,True,True,True
59,1119.0,5421.0,1586.0,3.5166666666666697,3.5166666666666697,0.22570086808026185,2012,0.7714529671267967,10.837499999999984,10.837499999999984,0.0,0.0,False,True,True
60,1121.0,13905.0,19246.0,1.71527777777778,1.71527777777778,0.5766937344559974,2012,0.4166541815239865,10.53472222222222,10.53472222222222,0.0,0.0,False,True,True
60,1121.0,12121.0,20614.0,0.0,1.71527777777778,0.3848480322604734,2016,0.22629004555298335,15.924999999999985,10.53472222222222,5.390277777777765,-1.71527777777778,True,False,True
61,1123.0,6319.0,12396.0,1.5416666666666698,1.5416666666666698,0.6583461681448829,2012,0.3355993414413936,10.762499999999985,10.762499999999985,0.0,0.0,False,True,True
61,1123.0,5519.0,13594.0,0.0,1.5416666666666698,0.4498792070688685,2016,0.18264553066154812,17.2,10.762499999999985,6.437500000000014,-1.5416666666666698,True,False,True
62,1125.0,32048.0,45748.0,2.08555555555556,2.08555555555556,0.5821096831657971,2012,0.407787250286296,11.860416666666666,11.860416666666666,0.0,0.0,False,True,True
62,1125.0,31762.0,47723.0,0.0,2.08555555555556,0.35990196078431375,2016,0.23953242835595775,17.375,11.860416666666666,5.514583333333334,-2.08555555555556,True,False,True
63,1127.0,6557.0,21651.0,2.53333333333333,2.53333333333333,0.7591248553697275,2012,0.22990077486764138,11.175000000000013,11.175000000000013,0.0,0.0,False,True,True
63,1127.0,4497.0,24266.0,0.0,2.53333333333333,0.5231545360469128,2016,0.09695153501207313,18.35,11.175000000000013,7.174999999999988,-2.53333333333333,True,False,True
64,1129.0,2976.0,5761.0,5.775,5.775,0.6562998405103668,2012,0.3390293916609706,12.358333333333334,12.358333333333334,0.0,0.0,False,True,True
65,1131.0,4868.0,1679.0,3.05,3.05,0.25629674858800183,2012,0.7430926576095253,11.95,11.95,0.0,0.0,False,True,True
66,1133.0,1286.0,8312.0,0.4333333333333329,0.4333333333333329,0.8556722256536957,2012,0.13238624665431337,10.080555555555534,10.080555555555534,0.0,0.0,False,True,True
66,1133.0,872.0,9228.0,0.0,0.4333333333333329,0.5528728057036726,2016,0.052243724162722424,17.966666666666697,10.080555555555534,7.886111111111163,-0.4333333333333329,True,False,True
67,5025.0,845.0,2313.0,2.04,2.04,0.7082057562767912,2012,0.25872627066748316,11.25,11.25,0.0,0.0,False,True,True
94,5025.0,723.0,2462.0,2.5,2.04,0.4959709911361805,2016,0.14564867042707494,16.65,11.25,5.399999999999999,0.45999999999999996,True,True,True
68,5027.0,3557.0,5790.0,2.025,2.025,0.612374405076679,2012,0.37620306716023266,12.83,12.83,0.0,0.0,False,True,True
111,5059.0,3149.0,8172.0,0.7285714285714291,0.317063492063492,0.4210417847390386,2016,0.16224431964552527,15.383333333333349,11.32222222222224,4.061111111111108,0.4115079365079371,True,True,True
