state,date,outside
IL,2020-03-09,0.0174
IN,2020-03-09,0.0178
IA,2020-03-09,0.0231
KS,2020-03-09,0.0247
KY,2020-03-09,0.0167
LA,2020-03-09,0.0148
ME,2020-03-09,0.01
MD,2020-03-09,0.008459999999999999
MA,2020-03-09,0.00395
MI,2020-03-09,0.0139
MN,2020-03-09,0.00822
MS,2020-03-09,0.017
MO,2020-03-09,0.0247
MT,2020-03-09,0.008409999999999999
NE,2020-03-09,0.0162
NV,2020-03-09,0.00274
NH,2020-03-09,0.0071200000000000005
NJ,2020-03-09,0.00277
NM,2020-03-09,0.0181
NY,2020-03-09,0.0054600000000000004
NC,2020-03-09,0.0126
ND,2020-03-09,0.00952
OH,2020-03-09,0.0153
OK,2020-03-09,0.0149
OR,2020-03-09,0.00305
PA,2020-03-09,0.00997
RI,2020-03-09,0.00765
SC,2020-03-09,0.00647
SD,2020-03-09,0.0152
TN,2020-03-09,0.0192
TX,2020-03-09,0.0114
UT,2020-03-09,0.00983
VT,2020-03-09,0.005379999999999999
VA,2020-03-09,0.00845
WA,2020-03-09,-0.0189
WV,2020-03-09,0.00998
WI,2020-03-09,0.0107
WY,2020-03-09,0.015
AL,2020-03-10,0.00796
AK,2020-03-10,-0.00215
AZ,2020-03-10,0.0125
AR,2020-03-10,0.0177
CA,2020-03-10,-0.00838
CO,2020-03-10,0.0111
CT,2020-03-10,0.00585
DE,2020-03-10,0.008759999999999999
DC,2020-03-10,0.00394
FL,2020-03-10,-0.00040199999999999996
GA,2020-03-10,0.006509999999999999
HI,2020-03-10,-0.00599
ID,2020-03-10,0.0163
IL,2020-03-10,0.0161
IN,2020-03-10,0.0164
IA,2020-03-10,0.0217
KS,2020-03-10,0.0219
KY,2020-03-10,0.0139
LA,2020-03-10,0.012
ME,2020-03-10,0.00585
MD,2020-03-10,0.0070599999999999994
MA,2020-03-10,0.00116
MI,2020-03-10,0.0125
MN,2020-03-10,0.00683
MS,2020-03-10,0.0142
MO,2020-03-10,0.0233
MT,2020-03-10,0.008409999999999999
NE,2020-03-10,0.0134
NV,2020-03-10,-5.14e-05
NH,2020-03-10,0.00433
NJ,2020-03-10,0.0013800000000000002
NM,2020-03-10,0.0181
NY,2020-03-10,0.004070000000000001
NC,2020-03-10,0.0126
ND,2020-03-10,0.00952
OH,2020-03-10,0.0139
OK,2020-03-10,0.0136
OR,2020-03-10,0.00165
PA,2020-03-10,0.008579999999999999
RI,2020-03-10,0.00625
SC,2020-03-10,0.00647
SD,2020-03-10,0.0152
TN,2020-03-10,0.0178
TX,2020-03-10,0.00718
UT,2020-03-10,0.0112
VT,2020-03-10,0.005379999999999999
VA,2020-03-10,0.00845
WA,2020-03-10,-0.0231
WV,2020-03-10,0.00859
WI,2020-03-10,0.0107
WY,2020-03-10,0.015
AL,2020-03-11,0.0112
AK,2020-03-11,-0.00535
AZ,2020-03-11,0.00605
AR,2020-03-11,0.0161
CA,2020-03-11,-0.0116
CO,2020-03-11,0.0111
CT,2020-03-11,0.00425
DE,2020-03-11,0.00716
DC,2020-03-11,-0.0008640000000000001
FL,2020-03-11,-0.00040199999999999996
GA,2020-03-11,0.00811
HI,2020-03-11,-0.00759
ID,2020-03-11,0.0163
IL,2020-03-11,0.0145
IN,2020-03-11,0.0148
IA,2020-03-11,0.0217
KS,2020-03-11,0.0203
KY,2020-03-11,0.0123
LA,2020-03-11,0.0168
ME,2020-03-11,0.00585
MD,2020-03-11,0.0054600000000000004
MA,2020-03-11,-0.000437
MI,2020-03-11,0.0109
MN,2020-03-11,0.0036299999999999995
MS,2020-03-11,0.0158
MO,2020-03-11,0.0217
MT,2020-03-11,0.008409999999999999
NE,2020-03-11,0.0102
NV,2020-03-11,-0.00325
NH,2020-03-11,0.0027300000000000002
NJ,2020-03-11,-0.00182
NM,2020-03-11,0.0181
NY,2020-03-11,0.00247
NC,2020-03-11,0.0126
ND,2020-03-11,0.00952
OH,2020-03-11,0.0123
OK,2020-03-11,0.0136
OR,2020-03-11,5.3500000000000006e-05
PA,2020-03-11,0.00698
RI,2020-03-11,0.00305
SC,2020-03-11,0.00966
SD,2020-03-11,0.0152
TN,2020-03-11,0.0162
TX,2020-03-11,0.00718
UT,2020-03-11,0.0112
VT,2020-03-11,0.005379999999999999
VA,2020-03-11,0.00685
WA,2020-03-11,-0.0295
WV,2020-03-11,0.0069900000000000006
WI,2020-03-11,0.00913
WY,2020-03-11,0.015
AL,2020-03-12,0.013999999999999999
AK,2020-03-12,-0.00822
AZ,2020-03-12,-0.0011300000000000001
AR,2020-03-12,0.0146
CA,2020-03-12,-0.0173
CO,2020-03-12,0.00825
CT,2020-03-12,-5.96e-05
