state,date,employment
DE,2020-01-23,0.00238
DC,2020-01-23,0.0039
FL,2020-01-23,0.00489
GA,2020-01-23,0.00271
HI,2020-01-23,0.0138
ID,2020-01-23,0.0068200000000000005
IL,2020-01-23,0.00323
IN,2020-01-23,0.00439
IA,2020-01-23,0.00417
KS,2020-01-23,0.00101
KY,2020-01-23,0.00301
LA,2020-01-23,0.00433
ME,2020-01-23,0.0026100000000000003
MD,2020-01-23,0.0024
MA,2020-01-23,0.0028899999999999998
MI,2020-01-23,0.00502
MN,2020-01-23,0.00301
MS,2020-01-23,0.00235
MO,2020-01-23,0.0013599999999999999
MT,2020-01-23,0.0054600000000000004
NE,2020-01-23,-0.00253
NV,2020-01-23,0.00309
NH,2020-01-23,0.00403
NJ,2020-01-23,0.00316
NM,2020-01-23,0.0075
NY,2020-01-23,0.0042899999999999995
NC,2020-01-23,0.0016899999999999999
ND,2020-01-23,0.0104
OH,2020-01-23,0.00139
OK,2020-01-23,0.00358
OR,2020-01-23,0.00471
PA,2020-01-23,0.0019100000000000002
RI,2020-01-23,0.00433
SC,2020-01-23,0.0036299999999999995
SD,2020-01-23,0.00972
TN,2020-01-23,0.00351
TX,2020-01-23,0.00441
UT,2020-01-23,0.005
VT,2020-01-23,0.000967
VA,2020-01-23,0.00065
WA,2020-01-23,0.00718
WV,2020-01-23,0.00515
WI,2020-01-23,0.00404
WY,2020-01-23,0.00733
AL,2020-01-24,0.00283
AK,2020-01-24,0.00419
AZ,2020-01-24,0.0015300000000000001
AR,2020-01-24,0.0011300000000000001
CA,2020-01-24,0.00604
CO,2020-01-24,0.00473
CT,2020-01-24,0.00285
DE,2020-01-24,0.0030800000000000003
DC,2020-01-24,0.00447
FL,2020-01-24,0.005529999999999999
GA,2020-01-24,0.00323
HI,2020-01-24,0.0141
ID,2020-01-24,0.00823
IL,2020-01-24,0.00386
IN,2020-01-24,0.00454
IA,2020-01-24,0.0046
KS,2020-01-24,0.00035499999999999996
KY,2020-01-24,0.0037799999999999995
LA,2020-01-24,0.00535
ME,2020-01-24,0.00294
MD,2020-01-24,0.0028399999999999996
MA,2020-01-24,0.00302
MI,2020-01-24,0.005379999999999999
MN,2020-01-24,0.00307
MS,2020-01-24,0.00246
MO,2020-01-24,0.00135
MT,2020-01-24,0.00557
NE,2020-01-24,-0.00394
NV,2020-01-24,0.00371
NH,2020-01-24,0.00425
NJ,2020-01-24,0.0035399999999999997
NM,2020-01-24,0.00903
NY,2020-01-24,0.0046700000000000005
NC,2020-01-24,0.00173
ND,2020-01-24,0.0111
OH,2020-01-24,0.0015199999999999999
OK,2020-01-24,0.00381
OR,2020-01-24,0.0054
PA,2020-01-24,0.00212
RI,2020-01-24,0.0044399999999999995
SC,2020-01-24,0.00391
SD,2020-01-24,0.00801
TN,2020-01-24,0.00403
TX,2020-01-24,0.00542
